date,nav
20081125,2.1924
20081126,2.1938
20081127,2.1988
20081128,2.1963
20081201,2.1974
20081202,2.1978
20081203,2.1998
20081204,2.2005
20081205,2.2055
20081208,2.2118
20081209,2.2061
20081210,2.2131
20081211,2.2109
20081212,2.2048
20081215,2.2082
20081216,2.2121
20081217,2.2167
20081218,2.2233
20081219,2.2274
20081222,2.2219
20081223,2.2141
20081224,2.2108
20081225,2.2101
20081226,2.2102
20081229,2.2095
20081230,2.2074
20081231,2.2062
20090105,2.2139
20090106,2.2182
20090107,2.2189
20090108,2.2173
20090109,2.2217
20090112,2.2207
20090113,2.2161
20090114,2.2223
20090115,2.2187
20090116,2.2213
20090119,2.2211
20090120,2.2203
20090121,2.2207
20090122,2.2244
20090123,2.2254
20090202,2.2281
20090203,2.2309
20090204,2.2344
20090205,2.23
20090206,2.2413
20090209,2.2475
20090210,2.2483
20090211,2.2496
20090212,2.2516
20090213,2.2641
20090216,2.2708
20090217,2.2605
20090218,2.25
20090219,2.2532
20090220,2.2584
20090223,2.2681
20090224,2.2555
20090225,2.2543
20090226,2.2405
20090227,2.2369
20090302,2.2416
20090303,2.2388
